id	JavaScript	C++	WebAssembly
1	0.1475220024585724	0.021462008357048035	0.0584850013256073
2	0.008156999945640564	0.003914013504981995	0.007432013750076294
3	0.003653004765510559	0.001524999737739563	0.002065002918243408
4	0.0030840039253234863	0.0013410001993179321	0.0017059892416000366
5	0.003599002957344055	0.001269996166229248	0.0017459988594055176
6	0.003832995891571045	0.001390993595123291	0.0018189996480941772
7	0.004093006253242493	0.0013179928064346313	0.0018390119075775146
8	0.004409998655319214	0.001390993595123291	0.0019789934158325195
9	0.0051179975271224976	0.0015989989042282104	0.0018790066242218018
10	0.006064996123313904	0.0016169995069503784	0.002096995711326599
11	0.006461992859840393	0.0017990022897720337	0.0021349936723709106
12	0.007382988929748535	0.0017829984426498413	0.0022739917039871216
13	0.008116006851196289	0.0017360001802444458	0.0024029910564422607
14	0.00843799114227295	0.0018059909343719482	0.0023190081119537354
15	0.009049996733665466	0.0018659979104995728	0.002351999282836914
16	0.010107994079589844	0.0018710047006607056	0.0027260035276412964
17	0.011381000280380249	0.0020509958267211914	0.0027710050344467163
18	0.012066006660461426	0.002101004123687744	0.0027969926595687866
19	0.012685000896453857	0.002240002155303955	0.0028870105743408203
20	0.01367400586605072	0.0020859986543655396	0.0029619932174682617
21	0.013992011547088623	0.002110004425048828	0.003010988235473633
22	0.015198007225990295	0.0023009926080703735	0.003144010901451111
23	0.01586899161338806	0.0022070109844207764	0.003233999013900757
24	0.017103999853134155	0.0023019909858703613	0.003416001796722412
25	0.01857200264930725	0.002625003457069397	0.0037669986486434937
26	0.019378989934921265	0.002592995762825012	0.003707990050315857
27	0.019799992442131042	0.002661004662513733	0.0037620067596435547
28	0.015825003385543823	0.0020959973335266113	0.00295199453830719
29	0.015682995319366455	0.0019959956407546997	0.0029449909925460815
30	0.016284987330436707	0.002061992883682251	0.003174006938934326
31	0.023367002606391907	0.002374008297920227	0.0034950077533721924
32	0.019324004650115967	0.0023469924926757812	0.0034819990396499634
33	0.020594999194145203	0.002477988600730896	0.003683999180793762
34	0.020430997014045715	0.002481997013092041	0.0036599934101104736
35	0.02185499668121338	0.0025830119848251343	0.0039059966802597046
36	0.030795007944107056	0.0036019980907440186	0.00524100661277771
37	0.030924007296562195	0.003555998206138611	0.0055029988288879395
38	0.032154008746147156	0.003738999366760254	0.00559099018573761
39	0.03375899791717529	0.0038619935512542725	0.005682989954948425
40	0.035499006509780884	0.003990992903709412	0.005917996168136597
41	0.03886500000953674	0.004038989543914795	0.006154999136924744
42	0.03657799959182739	0.004108995199203491	0.0061690062284469604
43	0.038572996854782104	0.0042599886655807495	0.006507992744445801
44	0.0390470027923584	0.004258006811141968	0.006600990891456604
45	0.04026798903942108	0.004342004656791687	0.00664500892162323
46	0.040867000818252563	0.004342004656791687	0.006716996431350708
47	0.27434399724006653	0.005544990301132202	0.008291006088256836
48	0.05231499671936035	0.0038760006427764893	0.005826011300086975
49	0.035138994455337524	0.003788992762565613	0.005828991532325745
50	0.03547300398349762	0.00374700129032135	0.0058200061321258545
51	0.038586005568504333	0.00380900502204895	0.00600200891494751
52	0.037529006600379944	0.003954991698265076	0.006063997745513916
53	0.039566993713378906	0.004097998142242432	0.00622500479221344
54	0.03951099514961243	0.004164993762969971	0.006466999650001526
55	0.04059799015522003	0.004307001829147339	0.0066609978675842285
56	0.04155300557613373	0.004356995224952698	0.00677800178527832
57	0.04247799515724182	0.004345998167991638	0.00686800479888916
58	0.044026002287864685	0.004424005746841431	0.007023990154266357
59	0.7707010060548782	0.008114993572235107	0.011169999837875366
60	0.017257988452911377	0.00661700963973999	0.008873000741004944
61	0.01620100438594818	0.005589991807937622	0.008315995335578918
62	0.016518011689186096	0.005318999290466309	0.00838799774646759
63	0.017124012112617493	0.00549200177192688	0.008567005395889282
64	0.017469003796577454	0.005378991365432739	0.008569002151489258
65	0.01767699420452118	0.005346998572349548	0.00842200219631195
66	0.017820999026298523	0.005370005965232849	0.008343994617462158
67	0.018581002950668335	0.0056190043687820435	0.008720993995666504
68	0.019200995564460754	0.005624011158943176	0.008956000208854675
69	0.021988987922668457	0.005813002586364746	0.009353995323181152
70	0.02019299566745758	0.005783006548881531	0.00937400758266449
71	0.019992992281913757	0.005851998925209045	0.009386003017425537
72	0.020340994000434875	0.005988985300064087	0.009527996182441711
73	0.02082100510597229	0.006152987480163574	0.00981999933719635
74	0.021199002861976624	0.006211996078491211	0.009999006986618042
75	0.021456003189086914	0.006393000483512878	0.010123997926712036
76	0.021754994988441467	0.006467998027801514	0.010275006294250488
77	0.02333700656890869	0.006578996777534485	0.010442003607749939
78	0.02344401180744171	0.006723999977111816	0.01065400242805481
79	0.022975996136665344	0.006807997822761536	0.010903000831604004
80	0.023357003927230835	0.006995990872383118	0.011128991842269897
81	0.023947998881340027	0.007088005542755127	0.011381000280380249
82	0.02424699068069458	0.0071440041065216064	0.011434003710746765
83	0.027112990617752075	0.007371991872787476	0.011709004640579224
84	0.28240400552749634	0.008450999855995178	0.012522011995315552
85	0.025154009461402893	0.007853999733924866	0.011895999312400818
86	0.025289997458457947	0.007641002535820007	0.011977002024650574
87	0.025150001049041748	0.007846996188163757	0.012110993266105652
88	0.025392994284629822	0.007759004831314087	0.012345001101493835
89	0.02582000195980072	0.007868006825447083	0.012428998947143555
90	0.026062995195388794	0.00785200297832489	0.01246500015258789
91	0.026045992970466614	0.007876992225646973	0.012630999088287354
92	0.0267380028963089	0.00813700258731842	0.013099998235702515
93	0.02706599235534668	0.008218005299568176	0.013273000717163086
94	0.029138997197151184	0.008303999900817871	0.013496994972229004
